HPI_rank,Country,ISO,,Continent,Population_thousands,Life Expectancy_years,Ladder_of_life_Wellbeing,Ecological_Footprint_gha,HPI,Biocapacity_year_gha,GDP_per_capita
1,Costa Rica,CRI,2019CRI,1,5047.561,80.3,6.997618675,2.648522266,62.05755177,1.56,20296.8215
2,Vanuatu,VUT,2019VUT,8,299.882,70.5,6.955620317,1.61609366,60.36387581,1.56,3153.015168
3,Colombia,COL,2019COL,1,50339.443,77.3,6.350297928,1.904750865,60.1651675,1.56,14624.9713
4,Switzerland,CHE,2019CHE,3,8591.361,83.8,7.69422102,4.142516115,60.10465034,1.56,68390.71299
5,Ecuador,ECU,2019ECU,1,17373.657,77,5.809131145,1.507072768,58.83121306,1.56,11375.33118
6,Panama,PAN,2019PAN,1,4246.44,78.5,6.085955143,2.095497138,57.93216985,1.56,31458.69263
7,Jamaica,JAM,2019JAM,1,2948.277,74.5,6.309238911,1.840191003,57.90362846,1.56,9761.498522
8,Guatemala,GTM,2019GTM,1,17581.476,74.3,6.262175083,1.772629006,57.87555297,1.56,8637.464165
9,Honduras,HND,2019HND,1,9746.115,75.3,5.930051327,1.580107488,57.73411068,1.56,5727.973572
10,Uruguay,URY,2019URY,1,3461.731,77.9,6.600337029,2.621885465,57.53003585,1.56,21561.06205
11,New Zealand,NZL,2019NZL,2,4783.062,82.3,7.205174446,3.873951708,57.43448131,1.56,43148.44605
12,Philippines,PHL,2019PHL,8,108116.622,71.2,6.267745018,1.502025499,57.10321898,1.56,8908.175977
13,El Salvador,SLV,2019SLV,1,6453.55,73.3,6.454820633,2.06497864,56.32657529,1.56,8775.98652
14,United Kingdom,GBR,2019GBR,3,67530.161,81.3,7.157151222,3.948529357,55.96785254,1.56,46702.97842
15,Peru,PER,2019PER,1,32510.462,76.7,5.999381542,2.087987089,55.89352023,1.56,12847.88521
16,Nicaragua,NIC,2019NIC,1,6545.503,74.5,6.112545013,2.03830319,55.19364394,1.56,5407.1207
17,Tajikistan,TJK,2019TJK,7,9321.023,71.1,5.464015484,0.964901584,55.15297812,1.56,3379.748697
18,Netherlands,NLD,2019NLD,3,17097.123,82.3,7.42526865,4.593482329,54.94941705,1.56,56809.96717
19,Dominican Republic,DOM,2019DOM,1,10738.957,74.1,6.004237175,1.927028471,54.84726134,1.56,18412.89827
20,Armenia,ARM,2019ARM,7,2957.728,75.1,5.4880867,1.521645531,54.73393391,1.56,13653.74953
21,Brazil,BRA,2019BRA,1,211049.519,75.9,6.451148987,2.679416288,54.56892235,1.56,14651.61618
22,Bangladesh,BGD,2019BGD,6,163046.173,72.6,5.114216805,0.875011257,54.46704074,1.56,4753.726947
23,Mexico,MEX,2019MEX,1,127575.529,75,6.431945324,2.578322892,54.33059101,1.56,19765.91608
24,Uzbekistan,UZB,2019UZB,7,32981.715,71.7,6.154049397,1.882619055,54.14126925,1.56,6998.767576
